DATE,TIME,PROGRAM,LOCATION
06/27/26,8:00am-9:00pm,2026UCANationalPickleballTournament,"PicklrHenderson,"
,,,
Saturday,,,"Henderson,NV"
,10:00pm-11:30pm,Reception for NationalPickleballTournament Players,Emperors
,,,
,,(TBD),Ballroom II
06/28/26,8:00am-9:00pm,2026UCANationalPickleballTournament,"PicklrHenderson,"
,,,
Sunday,,,"Henderson,NV"
,9:00am-10:00pm,ConventionRegistration,Bacchus
,,,
,,,RegistrationDesk
,9:00am –6:00pm,American Shanghang Hakka Conference,Noman BallroomI
,11:00am-12:30pm,ByInvitationOnly:ReceptionforNationalChinese,NomanBallroom
,,,
,,AmericanCommunityLeadersSummit,IV
,12:30pm-5:30pm,ByInvitationOnly:NationalChineseAmerican,NomanBallroom
,,,
,,CommunityLeadersSummit,III
,5:30pm-6:30pm,ByInvitationOnly:ChineseAmericanCommunity,NomanBallroom
,,,
,,LeadersDinner,IV
,6:30pm-8:30pm,ByInvitationOnly:NationalChineseAmerican,NomanBallroom
,,,
,,CommunityLeadersSummitContinues,III
,8:30pm-11:00pm,ConventionWelcome Reception,Octavius Ballroom
,,,
,,,24
,8:00pm-10:00pm,SpecialFeature:StagePlays“LifeofPearlS. Buck”and,MilanoBallroom
,,,
,,“Wukong’s Adventure in North America”,V/VI
,10:00pm-11:00pm,Special Feature: Premiere of the UCA Documentary “10,MilanoBallroom
,,,
,,YearsFightingforJustice”,V/VI
06/29/26,8:30am-9:00am,OpeningCeremony,OctaviusBallroom
,,,
Monday,,,25
,9:00am-12:00pm,PlenarySession:,OctaviusBallroom
,,,
,,Panel1:ChineseAmericanCivilRightsMovementNow!,25
,,,
,,Panel 2: Chinese Americans in the Mid-term Elections,
,9:00am-5:00pm,Inaugural North American Chinese Book Fair,Octavius Ballroom
,,,
,,,24
,9:00am-5:00pm,Chinese American Community Organizations Showcase,"Octavius Ballroom
24"
,9:00am-5;00pm,Chinese American Youth Organizations Showcase,"Octavius Ballroom
24"
,12:00pm-1:00pm,"Keynote Luncheon
Fireside Chat-Nurturing the Chinese American Way of
Life","Octavius Ballroom
25"
,1:00pm-1:45pm,"Visiting Book Fair,Community Organizations and Youth
Organizations Showcase","Octavius
Ballroom 24"
,1:45pm-5:15pm,"Break-out Sessions:
1.Chinese American Youth Convention","Octavius
Ballroom 25"
,,2.UCA WAVES Mental Health Summit I,Milano VVI
,,3.UCA WAVES Mental Health Summit Il,Milano I/II
,,4.Strategic Growth for Nonprofit Organizations,"Octavius
Ballroom 1/2/3"
,,5.Chinese American Community Building,"Octavius
Ballroom 5"
,,"6.Economics,Business,and Entrepreneurship","Octavius
Ballroom 6/718"
,,7.Political Action and Election Strategies,"Octavius
Ballroom 9/10"
,"5:30pm-6:30pm
(Tentative)","Community Roundtables:
1.UCA Community Foundation Reception","Octavius
Ballroom 6/7/8"
,6:45pm-7:45pm,"2.UCA WAVES Parent &Youth Workshop and
Training:QPR",Milano l
,6:45pm-7:45pm,"3.UCA WAVES Parent &Youth Workshop and
Training:ADHD",Milano Il
,6:45pm-7:45pm,"4.UCA WAVES Parent &Youth Workshop and            
   Training:Non-for-profit Management",Milano V
,6:45pm-7:45pm,"5.UCA WAVES Parent &Youth Workshop and           
   Training:Youth Leadership",Milano VI
,"5:30pm-6:30pm
(Tentative)",6.Asian Culture and Education Society USA Meeting  ,Octavius Ballroom 5
,,7.FAAJA Board and Member Meeting,Boardroom or Octavius Rm 9
,,8.Hardy Club Meeting                              ,Octavius Ballroom 10
,,9.North America Hakka Associations Meeting        ,Octavius Ballroom 1/2
,,10.Community Meeting                              ,Octavius Ballroom 3
,8:00pm -9:30pm,Chinese American Stand-up Comedy Night,Octavius Ballroom 25
,9:30pm-11:00pm,State Delegations Karaoke Showdown   ,Octavius Ballroom 25
"06/30/26
Tuesday",8:30am-12:00pm,"Plenary Sessions:
Panel 3:Impact of Al on the Chinese Community
Panel 4:Chinese Americans in Art and Culture","Octavius
Ballroom 25"
,8:30am-12:00pm,Chinese American Youth Convention (Separate Track),Milano VNI
,8:30am-5:00pm,Inaugural North American Chinese Book Fair,"Octavius
Ballroom 24"
,8:30am-5:00pm,Chinese American Community Organizations Showcase,"Octavius
Ballroom 24"
,8:30am-5;00pm,Chinese American Youth Organizations Showcase,"Octavius
Ballroom 24"
,12:00pm-1:00pm,"Keynote Luncheon
Navigating the Storm-The Future of Chinese Diaspora
Amid U.S.-China Tensions","Octavius
Ballroom 25"
,1:00pm-1:30pm,Convention Group Photo and Youth Photo,TBD
,1:30pm-2:00pm,"Visiting Book Fair,Community Organizations and Youth
Organizations Showcase","Octavius
Ballroom 24"
,2:00pm-5:00pm,"Break-out Sessions:
1.Chinese American Youth Convention","Octavius
Ballroom 25"
,,2.UCA WAVES Mental Health Summit I,Milano VI
,,3.UCA WAVES Mental Health Summit II,Milano I/II
,,4.Strategic Growth for Nonprofit Organizations,"Octavius
Ballroom 1/2/3"
,,5.Chinese American Community Building,"Octavius
Ballroom 5"
,,"6.Economics,Business,and Entrepreneurship","Octavius
Ballroom 6/718"
,,7.Political Action and Election Strategies,"Octavius
Ballroom 9/10"
,6:00pm-7:00pm,"Cocktail Reception,Networking and Auctions","Octavius
Ballroom 24"
,7:00pm-10:00pm,"Awards Ceremony and Gala Dinner-Celebrating Service
&Courage in Our Community","Octavius
Ballroom 25"
,10:00pm-11:30pm,"Sing Along,Dance Party and Closing Festivities","Octavius
Ballroom 25"
"07101/26
Wednesday",8:30am-10:00am,Chinese American Influencers'Forum,"Octavius
Ballroom 25"
,10:00am-11:00am,UCA National Alliance Launch and Closing Ceremony,"Octavius
Ballroom 25"
,1:00pm,"Departure for UCA Family Vacation(4 Days and 3
Nights)",
